itemID,forbidRule
1061,특별조항
1069,위탁수하물 O
1060,위탁수하물 O
1069,기내휴대 O
1060,기내휴대 O
1065,위탁수하물 O
1065,기내휴대 O
1084,위탁수하물 O
1084,기내휴대 O
1081,기내휴대 X
1081,위탁수하물 O
1096,위탁수하물 O
1106,항공사 승인
1106,기내휴대 X
1113,기내휴대 X
1113,위탁수하물 O
1118,위탁수하물 O
1118,기내휴대 X
1115,기내휴대 X
1115,위탁수하물 O
1125,기내휴대 X
1125,위탁수하물 O
1126,특별조항
1132,기내휴대 O
5468,위탁수하물 O
1073,기내휴대 X
1281,특별조항
1286,특별조항
1314,기내휴대 O
1326,위탁수하물 O
1370,위탁수하물 O
1396,위탁수하물 X
1207,위탁수하물 O
1266,특별조항
1513,위탁수하물 O
1838,위탁수하물 O
1944,위탁수하물 O
1622,기내휴대 X
6441,위탁수하물 O
6444,기내휴대 X
6412,위탁수하물 O
6563,위탁수하물 O
6584,기내휴대 O
6594,기내휴대 O
6590,기내휴대 O
6614,특별조항
6500,위탁수하물 O
6648,기내휴대 O
6652,기내휴대 O
6647,위탁수하물 X
6672,위탁수하물 O
6437,위탁수하물 O
6446,위탁수하물 O
6467,위탁수하물 X
6460,위탁수하물 O
6487,위탁수하물 O
6504,특별조항
6473,기내휴대 X
6513,기내휴대 O
6519,위탁수하물 O
6523,위탁수하물 O
6557,기내휴대 O
6565,위탁수하물 O
6516,기내휴대 O
6411,기내휴대 O
6626,위탁수하물 O
6414,위탁수하물 O
6473,위탁수하물 O
6552,위탁수하물 O
6681,특별조항
6696,위탁수하물 O
6694,위탁수하물 O
6677,위탁수하물 O
6697,위탁수하물 O
6704,위탁수하물 O
6738,기내휴대 O
6746,기내휴대 O
6757,기내휴대 O
6825,기내휴대 X
6795,기내휴대 O
6762,기내휴대 X
6778,기내휴대 O
6802,기내휴대 O
6807,기내휴대 O
6872,기내휴대 X
6871,위탁수하물 X
6891,위탁수하물 X
6899,기내휴대 O
6868,위탁수하물 O
6847,기내휴대 O
6891,기내휴대 X
6822,위탁수하물 O
6844,위탁수하물 O
6709,기내휴대 O
6890,위탁수하물 O
6883,기내휴대 O
1073,위탁수하물 X
1166,기내휴대 O
1341,위탁수하물 O
1405,기내휴대 O
1180,위탁수하물 O
1269,특별조항
1698,기내휴대 X
1755,특별조항
1953,기내휴대 X
1639,기내휴대 X
1988,기내휴대 X
2179,위탁수하물 O
2264,위탁수하물 X
5473,위탁수하물 O
5420,기내휴대 O
5428,위탁수하물 O
5446,기내휴대 O
5432,기내휴대 O
5447,위탁수하물 O
5527,위탁수하물 O
5455,기내휴대 O
5489,위탁수하물 O
5460,기내휴대 O
5477,위탁수하물 O
5605,기내휴대 O
5647,기내휴대 O
5661,기내휴대 O
5667,특별조항
5478,기내휴대 O
5479,위탁수하물 X
5601,위탁수하물 X
5720,특별조항
5725,기내휴대 X
5709,기내휴대 O
5419,위탁수하물 X
5433,기내휴대 O
5591,위탁수하물 O
5590,기내휴대 X
5531,위탁수하물 O
5535,특별조항
5737,특별조항
5544,위탁수하물 O
5766,위탁수하물 O
5770,위탁수하물 O
5783,위탁수하물 O
5742,기내휴대 O
5801,특별조항
5804,기내휴대 O
5808,기내휴대 O
5812,위탁수하물 O
5832,위탁수하물 O
5837,기내휴대 O
5846,기내휴대 X
5849,위탁수하물 O
5851,기내휴대 X
5866,기내휴대 O
5872,기내휴대 X
5865,위탁수하물 O
5891,기내휴대 O
5902,기내휴대 X
5621,위탁수하물 O
5622,위탁수하물 O
5622,기내휴대 O
5640,기내휴대 X
5629,기내휴대 O
5668,위탁수하물 O
5515,기내휴대 O
5692,위탁수하물 O
5730,기내휴대 X
5729,기내휴대 O
5706,특별조항
5566,위탁수하물 O
5731,기내휴대 O
5565,위탁수하물 O
5700,위탁수하물 O
6421,기내휴대 O
6444,위탁수하물 O
6441,기내휴대 O
6485,위탁수하물 O
6572,위탁수하물 O
6588,위탁수하물 O
6603,기내휴대 O
6613,위탁수하물 O
6616,위탁수하물 O
6649,위탁수하물 O
6632,기내휴대 O
6667,기내휴대 O
6666,기내휴대 O
6422,위탁수하물 O
6431,기내휴대 O
6431,특별조항
6474,기내휴대 O
6478,기내휴대 O
6524,위탁수하물 O
6520,위탁수하물 O
6520,기내휴대 O
6488,기내휴대 O
6532,위탁수하물 O
6628,위탁수하물 X
6535,위탁수하물 X
6621,기내휴대 O
6626,기내휴대 O
6550,기내휴대 O
1120,기내휴대 X
1030,기내휴대 O
1282,기내휴대 X
1324,위탁수하물 X
1370,기내휴대 O
1410,위탁수하물 O
1213,위탁수하물 O
1205,기내휴대 X
1498,위탁수하물 O
1583,기내휴대 X
1742,특별조항
1843,위탁수하물 X
1936,위탁수하물 X
2195,특별조항
2614,특별조항
3065,위탁수하물 O
5423,위탁수하물 O
5418,위탁수하물 O
5442,위탁수하물 O
5444,기내휴대 O
5470,기내휴대 O
5440,위탁수하물 O
5530,위탁수하물 O
5595,특별조항
5529,기내휴대 X
5598,위탁수하물 O
5451,위탁수하물 O
5657,기내휴대 X
5604,기내휴대 O
5644,위탁수하물 O
5686,위탁수하물 O
5678,기내휴대 O
5711,기내휴대 O
5703,위탁수하물 O
5691,기내휴대 O
5438,기내휴대 O
5413,기내휴대 O
5583,위탁수하물 X
5587,위탁수하물 O
5531,기내휴대 O
5546,기내휴대 O
5559,특별조항
5761,기내휴대 O
5752,기내휴대 O
5750,기내휴대 O
5559,기내휴대 O
5742,위탁수하물 O
5775,기내휴대 X
5794,기내휴대 O
5787,위탁수하물 X
5811,기내휴대 O
5819,위탁수하물 O
5822,위탁수하물 O
5843,기내휴대 O
5847,위탁수하물 O
5847,기내휴대 O
5861,기내휴대 O
5867,기내휴대 X
5875,위탁수하물 O
5880,특별조항
5896,특별조항
5902,특별조항
5613,위탁수하물 O
5624,기내휴대 X
5638,기내휴대 O
5642,기내휴대 O
5675,위탁수하물 O
5503,기내휴대 X
5509,기내휴대 O
5515,위탁수하물 O
5562,기내휴대 O
6448,기내휴대 X
6568,위탁수하물 O
6585,기내휴대 O
6577,기내휴대 O
6591,위탁수하물 O
6594,위탁수하물 O
6608,위탁수하물 X
6515,특별조항
6611,기내휴대 O
6667,특별조항
6668,특별조항
6428,위탁수하물 O
6455,기내휴대 O
6440,기내휴대 X
6424,기내휴대 O
